link,link_part,fl,ascents_per_day,ascents,last_dt,first_dt,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,lat,lon
1,"<a href=""https://www.8a.nu/crags/sportclimbing/poland/sokoliki"" target=""_blank"">poland/sokoliki</a>",poland/sokoliki,🇵🇱,15.060109289617486,5512,2024-12-26 12:00:00,2024-01-01 12:00:00,0.1,0.7000000000000001,3.0,9.8,20.5,15.0,14.299999999999999,19.7,8.1,6.4,1.6,0.6,50.867666,15.868239
2,"<a href=""https://www.8a.nu/crags/sportclimbing/greece/arginonta-valley"" target=""_blank"">greece/arginonta-valley</a>",greece/arginonta-valley,🇬🇷,13.278688524590164,4860,2024-12-31 12:00:00,2024-01-03 12:00:00,0.5,0.0,1.4000000000000001,10.7,15.4,8.4,6.3,7.3999999999999995,19.6,24.7,5.0,0.6,37.012442,26.974637
3,"<a href=""https://www.8a.nu/crags/sportclimbing/poland/dolina-bedkowska"" target=""_blank"">poland/dolina-bedkowska</a>",poland/dolina-bedkowska,🇵🇱,11.174863387978142,4090,2024-12-21 12:00:00,2024-01-23 12:00:00,0.0,1.7000000000000002,6.5,13.5,21.0,13.4,12.2,13.700000000000001,9.4,7.6,0.8,0.1,50.17256,19.74132
4,"<a href=""https://www.8a.nu/crags/sportclimbing/greece/sabaton"" target=""_blank"">greece/sabaton</a>",greece/sabaton,🇬🇷,11.109289617486338,4066,2024-12-31 12:00:00,2024-01-01 12:00:00,5.1,4.1000000000000005,14.2,14.7,7.000000000000001,1.3,0.3,0.3,3.5000000000000004,18.4,21.8,9.2,37.170303,22.897922
5,"<a href=""https://www.8a.nu/crags/sportclimbing/spain/camarasa-6a9eb-verrev"" target=""_blank"">spain/camarasa-6a9eb-verrev</a>",spain/camarasa-6a9eb-verrev,🇪🇸,10.371584699453551,3796,2024-12-30 12:00:00,2024-01-01 12:00:00,3.3000000000000003,5.1,10.9,11.4,9.700000000000001,8.9,7.5,3.8,6.5,10.6,16.5,5.800000000000001,41.901133,0.885821
6,"<a href=""https://www.8a.nu/crags/sportclimbing/poland/dolina-szklarki"" target=""_blank"">poland/dolina-szklarki</a>",poland/dolina-szklarki,🇵🇱,10.114754098360656,3702,2024-12-19 12:00:00,2024-01-30 12:00:00,0.1,2.6,9.2,12.5,18.099999999999998,14.299999999999999,13.4,12.5,8.3,7.199999999999999,1.6,0.1,50.195625,19.728842
7,"<a href=""https://www.8a.nu/crags/sportclimbing/greece/poets"" target=""_blank"">greece/poets</a>",greece/poets,🇬🇷,8.53551912568306,3124,2024-12-31 12:00:00,2024-01-02 12:00:00,1.0999999999999999,0.4,2.0,9.700000000000001,13.5,5.3,6.4,4.7,19.8,26.0,9.9,1.2,36.999382,26.941512
8,"<a href=""https://www.8a.nu/crags/sportclimbing/greece/manikia"" target=""_blank"">greece/manikia</a>",greece/manikia,🇬🇷,8.051912568306012,2947,2024-12-31 12:00:00,2024-01-01 12:00:00,5.4,3.8,13.3,9.8,5.2,0.6,0.1,0.4,3.8,17.299999999999997,30.7,9.4,38.547496,23.987583
9,"<a href=""https://www.8a.nu/crags/sportclimbing/poland/rzedkowice"" target=""_blank"">poland/rzedkowice</a>",poland/rzedkowice,🇵🇱,7.0109289617486334,2566,2024-12-31 12:00:00,2024-02-10 12:00:00,0.0,4.2,13.600000000000001,9.8,15.2,11.1,9.8,13.100000000000001,9.0,12.2,1.7000000000000002,0.3,50.57375,19.48983
10,"<a href=""https://www.8a.nu/crags/sportclimbing/italy/canyon-sa-tappara"" target=""_blank"">italy/canyon-sa-tappara</a>",italy/canyon-sa-tappara,🇮🇹,6.863387978142076,2512,2024-12-30 12:00:00,2024-01-01 12:00:00,1.5,0.8,3.9,10.9,16.8,5.5,4.8,6.1,18.099999999999998,21.7,8.6,1.0999999999999999,39.814007,9.496551
